NO;TANGGAL;KATEGORI;SUB KATEGORI;KETERANGAN;KELUAR;MASUK;AKUN
1;28/02/2022;KERJA;Gaji;Gaji;0;3500000;BCA
2;28/02/2022;TABUNGAN;Sangu;Mamah;0;2000000;BCA
3;28/02/2022;LAIN - LAIN;Saldo;Pindah saldo;1720053;0;BCA
4;28/02/2022;TABUNGAN;Inves;Bibit;1500000;0;BCA
5;28/02/2022;LAIN - LAIN;Saldo;Pindah saldo;0;700000;BLU
6;28/02/2022;LAIN - LAIN;Saldo;Pindah saldo;0;1020000;MANDIRI
7;28/02/2022;MAKAN;Online;Red Fried Chicken;50000;0;BCA
8;28/02/2022;MAKAN;Makan Luar;Solaria;72000;0;BCA
9;28/02/2022;MAKAN;Makan Luar;Wingstop;60000;0;BCA
10;28/02/2022;MAKAN;Makan Luar;Bakso;25000;0;CASH
11;01/03/2022;KERJA;Reimburse;Reimburse;0;575000;CASH
12;01/03/2022;MAKAN;Makan Luar;Warteg Wijaya;14000;0;CASH
13;01/03/2022;JAJAN;Jajan & Rokok;Starling;4000;0;CASH
14;01/03/2022;KERJA;Reimburse;Karung;14000;0;CASH
15;01/03/2022;MAKAN;Makan Luar;Padang Wijaya;13000;0;CASH
16;01/03/2022;TRANSPORT;Pribadi;Pertamax;50000;0;CASH
17;01/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;BCA
18;02/03/2022;BELANJA;Kebutuhan;Sunscreen;55300;0;BCA
19;02/03/2022;JAJAN;Jajan & Rokok;Alfamart;11500;0;CASH
20;02/03/2022;BELANJA;Kebutuhan;Sarung Tangan;15000;0;CASH
21;02/03/2022;MAKAN;Makan Luar;Padang Wijaya;13000;0;CASH
22;02/03/2022;KERJA;Reimburse;Mata Bor;47000;0;CASH
23;02/03/2022;MAKAN;Makan Luar;Warteg Wijaya;14000;0;CASH
24;02/03/2022;LAIN - LAIN;Teman;Nodi;100000;0;CASH
25;02/03/2022;MAKAN;Makan Luar;Kos Nodi;28000;0;CASH
26;03/03/2022;LAIN - LAIN;Teman;Nodi;0;100000;BCA
27;03/03/2022;LAIN - LAIN;Teman;Cecep;0;29000;BCA
28;03/03/2022;KERJA;Reimburse;Pipa T;6000;0;CASH
29;03/03/2022;JAJAN;Jajan & Rokok;Starling;6000;0;CASH
30;03/03/2022;TABUNGAN;Bunga & Admin;Bunga;4500;122,96;MANDIRI
31;03/03/2022;TABUNGAN;Bunga & Admin;Bunga;0;6010,52;BLU
32;03/03/2022;MAKAN;Makan Luar;Kos Nodi;20130;0;BCA
33;03/03/2022;TEMPAT TINGGAL;Kos;Bayar Maret - April;1500000;0;BCA
34;03/03/2022;MAKAN;Online;Pork Hub;50000;0;BCA
35;04/03/2022;MAKAN;Makan Luar;Warteg Wijaya;14000;0;CASH
36;04/03/2022;MAKAN;Online;Chicken Union;50000;0;BCA
37;04/03/2022;KERJA;Gaji;Uang Makan;0;150000;BCA
38;04/03/2022;KERJA;Gaji;Uang Bensin;0;50000;BCA
39;04/03/2022;KERJA;Reimburse;Reimburse;0;63000;BCA
40;04/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;15000;0;BCA
41;05/03/2022;MAKAN;Makan Luar;Padang Kos;13000;0;CASH
42;05/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;BCA
43;05/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;CASH
44;06/03/2022;MAKAN;Makan Luar;Mie Ayam Filkop;20000;0;CASH
45;06/03/2022;JAJAN;Kafe;Filosofi Kopi;5000;0;CASH
46;06/03/2022;MAKAN;Makan Luar;Mie Aceh;32500;0;BCA
47;07/03/2022;MAKAN;Makan Luar;Warteg Wijaya;13000;0;CASH
48;07/03/2022;MAKAN;Makan Luar;Padang Wijaya;18000;0;CASH
49;07/03/2022;JAJAN;Jajan & Rokok;Rokok;38000;0;CASH
50;07/03/2022;JAJAN;Kafe;Kozy Coffee;20200;0;BLU
51;07/03/2022;MAKAN;Makan Luar;Nasi Goreng Kambing;34000;0;BLU
52;08/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
53;08/03/2022;JAJAN;Jajan & Rokok;Starling;5000;0;CASH
54;08/03/2022;TABUNGAN;Inves;Bibit;2000000;0;MANDIRI
55;08/03/2022;KERJA;Gaji;Bonus Mandor;0;125000;CASH
56;08/03/2022;MAKAN;Makan Luar;Hisana;16000;0;CASH
57;08/03/2022;JAJAN;Jajan & Rokok;Warung;11000;0;CASH
58;09/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
59;09/03/2022;JAJAN;Jajan & Rokok;Starling;5000;0;CASH
60;09/03/2022;KERJA;Reimburse;Mata Bor;89000;0;CASH
61;09/03/2022;KERJA;Reimburse;Porstex;54000;0;BCA
62;09/03/2022;KERJA;Gaji;Bonus Mandor;0;20000;CASH
63;09/03/2022;MAKAN;Makan Luar;Warteg Wijaya;20000;0;CASH
64;09/03/2022;TEMPAT TINGGAL;Maintenance;Listrik;50500;0;BLU
65;09/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;16000;0;BCA
66;09/03/2022;JAJAN;Jajan & Rokok;Warung;6000;0;CASH
67;10/03/2022;KERJA;Reimburse;Reimburse;0;139000;CASH
68;10/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
69;10/03/2022;JAJAN;Jajan & Rokok;Starling;5000;0;CASH
70;10/03/2022;JAJAN;Jajan & Rokok;Warung;6000;0;CASH
71;10/03/2022;KERJA;Reimburse;Lem PVC;29500;0;CASH
72;10/03/2022;MAKAN;Makan Luar;Hisana;25000;0;CASH
73;10/03/2022;TRANSPORT;Pribadi;Pertamax;60000;0;CASH
74;10/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;BCA
75;10/03/2022;JAJAN;Jajan & Rokok;Warung;4000;0;CASH
76;11/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
77;11/03/2022;JAJAN;Jajan & Rokok;Starling;7000;0;CASH
78;11/03/2022;KERJA;Reimburse;Reimburse;0;24500;BCA
79;11/03/2022;KERJA;Gaji;Uang Makan;0;300000;BCA
80;11/03/2022;KERJA;Gaji;Uang Bensin;0;60000;BCA
81;11/03/2022;KERJA;Gaji;Uang Pulsa;0;200000;BCA
82;11/03/2022;JAJAN;Jajan & Rokok;Rokok;33000;0;CASH
83;11/03/2022;MAKAN;Makan Luar;Warteg Wijaya;17000;0;CASH
84;11/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;16000;0;CASH
85;11/03/2022;MAKAN;Online;Bar Burger;50000;0;BCA
86;12/03/2022;KERJA;Reimburse;Benang;30000;0;BCA
87;12/03/2022;MAKAN;Makan Luar;Warteg Wijaya;15000;0;CASH
88;12/03/2022;JAJAN;Jajan & Rokok;Starling;4000;0;CASH
89;12/03/2022;HIBURAN;Entertainment;Nonton;106000;0;BCA
90;12/03/2022;BELANJA;Hobi;Nutens;220000;0;BCA
91;12/03/2022;LAIN - LAIN;Saldo;Tarik tunai;200000;0;BCA
92;12/03/2022;LAIN - LAIN;Saldo;Tarik tunai;0;200000;CASH
93;12/03/2022;MAKAN;Makan Luar;Taichan;60000;0;CASH
94;13/03/2022;MAKAN;Makan Luar;Warteg Ahass;13000;0;CASH
95;13/03/2022;JAJAN;Jajan & Rokok;Indomaret;3500;0;CASH
96;13/03/2022;TRANSPORT;Pribadi;Servis;755000;0;BLU
97;13/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;BCA
98;13/03/2022;JAJAN;Jajan & Rokok;Warung;8000;0;CASH
99;14/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
100;14/03/2022;JAJAN;Jajan & Rokok;Starling;7000;0;CASH
101;15/03/2022;BELANJA;Kebutuhan;Masker;37900;0;BCA
102;15/03/2022;MAKAN;Makan Luar;Warteg Wijaya;22000;0;CASH
103;15/03/2022;JAJAN;Jajan & Rokok;Warung;4000;0;CASH
104;15/03/2022;JAJAN;Jajan & Rokok;Rokok;33000;0;CASH
105;15/03/2022;LAIN - LAIN;Teman;Ola;0;30000;BCA
106;15/03/2022;MAKAN;Online;Ayam Kremes Kraton;40000;0;BCA
107;15/03/2022;KERJA;Reimburse;Reimburse;0;30000;CASH
108;15/03/2022;JAJAN;Jajan & Rokok;Warkop;16000;0;CASH
109;15/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;14000;0;BCA
110;15/03/2022;TEMPAT TINGGAL;Maintenance;Laundry;25000;0;CASH
111;16/03/2022;MAKAN;Makan Luar;Warteg Wijaya;14000;0;CASH
112;16/03/2022;JAJAN;Jajan & Rokok;Starling;4000;0;CASH
113;16/03/2022;MAKAN;Makan Luar;Padang;16000;0;CASH
114;16/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;16000;0;BCA
115;16/03/2022;JAJAN;Kafe;Latte Duren Tiga;16000;0;BCA
116;17/03/2022;MAKAN;Makan Luar;Warteg Wijaya;16000;0;CASH
117;17/03/2022;LAIN - LAIN;Saldo;Tarik tunai;250000;0;BCA
118;17/03/2022;LAIN - LAIN;Saldo;Tarik tunai;0;250000;CASH
119;17/03/2022;JAJAN;Jajan & Rokok;Starling;9000;0;CASH
120;17/03/2022;MAKAN;Makan Luar;Padang Wijaya;19000;0;CASH
121;17/03/2022;KERJA;Reimburse;Lakban;32000;0;CASH
122;17/03/2022;TRANSPORT;Pribadi;Pertamax;60000;0;CASH
123;18/03/2022;MAKAN;Makan Luar;Warteg Wijaya;18000;0;CASH
124;18/03/2022;JAJAN;Jajan & Rokok;Starling;5000;0;CASH
125;18/03/2022;KERJA;Gaji;Uang Makan;0;300000;BCA
126;18/03/2022;KERJA;Gaji;Uang Bensin;0;60000;BCA
127;18/03/2022;KERJA;Gaji;Uang Kos;0;600000;BCA
128;18/03/2022;KERJA;Reimburse;Reimburse;0;30000;BCA
129;18/03/2022;JAJAN;Jajan & Rokok;Rokok;38000;0;CASH
130;18/03/2022;JAJAN;Jajan & Rokok;Warung;9000;0;CASH
131;18/03/2022;MAKAN;Makan Luar;Kos Nodi;35000;0;BCA
132;18/03/2022;JAJAN;Kafe;BroDen;15000;0;BCA
133;18/03/2022;MAKAN;Makan Luar;Nasi Goreng Kos;13000;0;CASH
134;18/03/2022;TABUNGAN;Bunga & Admin;Bunga;7500;0;BCA
135;19/03/2022;MAKAN;Makan Luar;Warteg Wijaya;19000;0;CASH
136;19/03/2022;HIBURAN;Internet & Langganan;Internet;40000;0;BLU
137;19/03/2022;MAKAN;Makan Luar;Pork Hub;30000;0;BCA
138;19/03/2022;TEMPAT TINGGAL;Kos;Dp April - Mei;300000;0;BCA
139;20/03/2022;MAKAN;Online;Salty Sam;50000;0;BCA
